employee_id,first_name,last_name,birth_date,hire_date,email,gender,ssn,phone1,phone2,address_line1,address_line2,zipcode_id,city_state_id,job_position_id,employee_id_reports_to,travel_role_id
1,Agnella,Winnister,1989-10-25,2013-08-13,awinnister0@tamparailwayco.com,F,763-28-2800,(626) 5352889,,8392 Maryland Parkway,Tampa - FL 33603,10903,2066,10,127,
2,Dorie,McCurlye,1981-12-25,2013-02-11,dmccurlye1@tamparailwayco.com,F,819-16-4471,(356) 7563997,,261 Starling Trail,Orlando - FL 32803,10600,2197,19,127,1
3,Wren,Grogona,1986-09-06,2011-02-01,wgrogona2@tamparailwayco.com,F,736-26-1106,(305) 1588072,,349 Sunfield Way,Tampa - FL 33606,10906,2066,32,151,
4,Ardeen,Cronchey,1973-05-27,2013-08-10,acronchey3@tamparailwayco.com,F,447-45-6715,(156) 5174438,,948 Thackeray Hill,Orlando - FL 32807,10604,2197,32,118,
5,Alexa,Clemmey,1974-01-17,2012-10-11,aclemmey4@tamparailwayco.com,F,181-56-8973,(982) 3906872,,98848 Vermont Pass,Tampa - FL 33609,10908,2066,46,113,
6,Robena,Krolle,1985-04-24,2010-12-24,rkrolle5@tamparailwayco.com,F,792-79-7482,(178) 6385382,,7674 Armistice Junction,Tampa - FL 33612,10911,2066,38,140,
7,Mikael,Orman,1973-02-21,2012-09-21,morman6@tamparailwayco.com,M,323-79-1947,(816) 7010305,,31 Westport Parkway,Tampa - FL 33615,10914,2066,12,182,
8,Griffith,Elsmor,1971-09-12,2013-01-14,gelsmor7@tamparailwayco.com,M,389-04-1685,(623) 3143179,,3434 Corscot Terrace,Orlando - FL 32822,10616,2197,31,65,
9,Korie,Dugmore,1978-04-11,2012-01-23,kdugmore8@tamparailwayco.com,F,720-25-4150,(642) 4866817,,57 Harper Alley,Tampa - FL 33619,10918,2066,5,68,
10,Herb,McNirlan,1978-07-25,2013-11-06,hmcnirlan9@tamparailwayco.com,M,328-66-5137,(126) 5541339,,3 Hanson Drive,Orlando - FL 32832,10625,2197,31,73,
11,Alaric,Challis,1978-11-06,2013-02-03,achallisa@tamparailwayco.com,M,889-38-4519,(610) 3167841,,1 Jay Center,Tampa - FL 33634,10925,2066,6,83,
12,Stevana,Mundie,1987-12-22,2012-11-29,smundieb@tamparailwayco.com,F,331-91-1921,(396) 1127260,,83 Pine View Lane,Tampa - FL 33647,10928,2066,1,34,
13,Antin,Waszczykowski,1973-10-20,2012-12-28,awaszczykowskic@tamparailwayco.com,M,286-19-5489,(576) 8449284,,3470 Eagle Crest Road,Orlando - FL 32805,10602,2197,37,86,
14,Denise,Schruyer,1986-05-14,2013-09-03,dschruyerd@tamparailwayco.com,F,500-55-0896,(205) 5202524,,25 South Terrace,Orlando - FL 32809,10606,2197,3,59,
15,Mord,Belding,1970-09-09,2013-10-06,mbeldinge@tamparailwayco.com,M,249-18-7271,(820) 8709568,,340 Lindbergh Road,Tampa - FL 33604,10904,2066,41,49,
16,Upton,Josupeit,1966-10-23,2013-02-27,ujosupeitf@tamparailwayco.com,M,140-77-5678,(370) 6311015,,73 Hoepker Circle,Tampa - FL 33607,10907,2066,2,71,
17,Morgen,Holley,1965-12-20,2013-02-07,mholleyg@tamparailwayco.com,M,722-63-1092,(129) 6577630,,8 Grasskamp Trail,Orlando - FL 32827,10620,2197,9,26,
18,Bryon,Rudwell,1975-06-10,2012-06-23,brudwellh@tamparailwayco.com,M,753-47-7386,(795) 8187471,,285 4th Parkway,Tampa - FL 33610,10909,2066,19,7,1
19,Berry,Garwell,1972-04-22,2009-06-02,bgarwelli@tamparailwayco.com,F,537-35-0770,(239) 9863327,,188 Golf Course Trail,Orlando - FL 32835,10627,2197,19,166,1
20,Sandra,Heigl,1971-08-05,2012-05-04,sheiglj@tamparailwayco.com,F,773-41-3892,(848) 8631524,(134) 3309384,789 Lien Pass,Tampa - FL 33613,10912,2066,14,175,
21,Addi,Fullom,1983-06-23,2011-04-13,afullomk@tamparailwayco.com,F,647-27-9491,(767) 7465929,,244 Redwing Park,Tampa - FL 33616,10915,2066,23,18,1
22,Elizabet,Harnes,1973-01-26,2011-09-29,eharnesl@tamparailwayco.com,F,344-94-4411,(439) 6260489,,01959 Norway Maple Point,Orlando - FL 32811,10608,2197,47,186,
23,Sterling,Karpe,1974-11-06,2011-12-29,skarpem@tamparailwayco.com,M,485-42-2762,(132) 8375504,,9 Pepper Wood Hill,Orlando - FL 32832,10625,2197,36,106,
24,Micky,Pead,1978-10-06,2013-08-24,mpeadn@tamparailwayco.com,M,138-30-8752,(620) 5397096,,9 Garrison Crossing,Tampa - FL 33602,10902,2066,17,88,
25,Phillis,Boxen,1986-07-28,2012-02-15,pboxeno@tamparailwayco.com,F,670-45-8704,(484) 1626151,,67 Sunfield Court,Tampa - FL 33605,10905,2066,18,76,
26,Rosalynd,Malitrott,1973-05-18,2013-07-12,rmalitrottp@tamparailwayco.com,F,210-94-5228,(802) 4418196,,7860 Old Shore Court,Tampa - FL 33611,10910,2066,23,45,1
